"Countries","Gov. Health Exp. %Total (Government + Private)","Gov. Health Exp.($M)","Gov. Health Exp. (%Bud.)","Gov. Health Exp. %GDP","Gov. Health Exp. P.C.","Ch."
"United States [+]","84.77%","3,590,550,278,000.00","22.55%","14.10%","$10,644","4.34%"
"United Kingdom [+]","81.55%","87,073,157,032.30","18.74%","9.25%","$3,064","-3.02%"
"Germany [+]","86.50%","445,746,483,000.00","19.88%","10.95%","$5,355","-5.37%"
"France [+]","84.56%","279,900,617,256.00","15.47%","10.06%","$4,124","-9.48%"
"Japan [+]","85.54%","213,703,956,338.90","23.64%","9.84%","$3,506","-0.08%"
"Spain [+]","70.43%","102,948,722,604.00","15.28%","7.37%","$2,170","-6.25%"
"Italy [+]","75.85%","137,273,292,000.00","13.42%","6.83%","$2,325","-8.16%"
"Portugal [+]","63.44%","16,979,908,257.00","13.01%","6.74%","$1,640","-4.94%"
"Greece [+]","59.21%","11,139,142,599.00","10.23%","5.09%","$1,065","-8.07%"
"Ireland [+]","77.36%","24,853,480,938.00","20.04%","4.70%","$4,912","-5.67%"
"Andorra [+]","49.03%","151.5","14.02%","5.06%","$1,981","5.16%"
"United Arab Emirates [+]","71.97%","9,371.70","7.89%","2.40%","$977","4.06%"
"Afghanistan [+]","5.10%","113.3","2.32%","0.60%","$3","9.62%"
"Antigua and Barbuda [+]","47.03%","31.3","9.48%","2.13%","$317","2.11%"
"Albania [+]","55.05%","558.3","14.68%","2.88%","$190","6.95%"
"Armenia [+]","13.24%","158.2","5.27%","1.37%","$54","-8.55%"
"Angola [+]","46.28%","1,576.40","5.43%","1.29%","$53","26.03%"
"Argentina [+]","66.55%","42,552.40","16.05%","6.64%","$959","34.95%"
"Austria [+]","77.85%","41,653,824,264.00","15.31%","8.84%","$4,639","-8.73%"
"Australia [+]","73.18%","88,877.70","17.80%","7.31%","$3,674","7.13%"
"Azerbaijan [+]","15.11%","415.8","2.81%","1.00%","$42","-8.02%"
"Bosnia and Herzegovina [+]","70.49%","1,153.70","15.47%","6.30%","$325","2.97%"
"Barbados [+]","44.20%","149.2","9.08%","3.00%","$523","-2.01%"
"Bangladesh [+]","16.69%","1,115.20","2.99%","0.38%","$6","10.05%"
"Belgium [+]","76.63%","48,506,292,315.00","15.31%","8.38%","$4,175","-5.03%"
"Burkina Faso [+]","43.30%","424.4","9.99%","2.99%","$19","17.13%"
"Bulgaria [+]","64.70%","2,481.40","11.99%","5.54%","$344","11.17%"
"Bahrain [+]","57.98%","976.6","8.49%","2.75%","$654","-3.13%"
"Burundi [+]","24.71%","58.9","8.52%","1.86%","$6","8.00%"
"Benin [+]","29.98%","141.6","4.58%","1.11%","$9","47.75%"
"Brunei [+]","94.82%","272.9","6.15%","2.25%","$637","-2.40%"
"Bolivia [+]","68.53%","1,668.20","11.52%","4.42%","$151","9.32%"
"Brazil [+]","44.84%","81,392.20","10.26%","4.54%","$389","13.80%"
"Bahamas [+]","43.87%","312.2","11.25%","2.53%","$777","-15.07%"
"Bhutan [+]","74.52%","54.5","7.90%","2.37%","$72","6.79%"
"Botswana [+]","75.66%","747.5","14.32%","4.64%","$353","37.06%"
"Belarus [+]","69.96%","2,268.80","10.62%","4.15%","$240","13.52%"
"Belize [+]","67.98%","87.7","10.99%","3.84%","$191","-5.26%"
"Canada [+]","71.31%","38,068,700,694.90","19.33%","7.95%","$3,505","4.99%"
"Democratic Republic of the Congo [+]","9.95%","156.2","3.33%","0.40%","$2","-25.65%"
"Central African Republic [+]","12.82%","15.5","5.03%","0.75%","$3","28.69%"
"Republic of the Congo [+]","40.74%","132.4","3.40%","1.19%","$20","-14.66%"
"Switzerland [+]","68.92%","15,850,409,821.90","11.02%","7.82%","$3,036","3.91%"
"Côte d'Ivoire [+]","28.46%","664","5.10%","1.27%","$20","15.50%"
"Chile [+]","62.21%","14,900.70","17.73%","5.60%","$766","-7.35%"
"Cameroon [+]","13.32%","224.5","3.14%","0.62%","$9","5.03%"
"China [+]","54.81%","352,140.80","9.07%","3.10%","$250","7.95%"
"Colombia [+]","76.09%","21,101,650,523.00","17.49%","6.14%","$407","6.13%"
"Costa Rica [+]","74.40%","3,660,044,430.10","26.91%","5.33%","$702","-0.39%"
"Cuba [+]","89.44%","10,145.00","15.87%","10.47%","$883","1.33%"
"Cabo Verde [+]","60.24%","55.1","9.86%","3.11%","$101","6.38%"
"Cyprus [+]","85.29%","2,284,279,789.70","7.58%","8.04%","$2,537","43.78%"
"Czechia [+]","85.30%","3,344,446,564.70","15.18%","7.73%","$1,207","11.50%"
"Djibouti [+]","47.05%","43.1","4.07%","1.56%","$33","-9.95%"
"Denmark [+]","84.78%","10,830,348,081.40","16.60%","8.05%","$4,874","4.09%"
"Dominica [+]","64.96%","19.9","7.27%","3.82%","$286","5.99%"
"Dominican Republic [+]","46.00%","2,260.60","15.60%","2.82%","$199","5.20%"
"Algeria [+]","65.95%","7,041.90","10.73%","4.20%","$170","-3.28%"
"Ecuador [+]","52.82%","4,549.00","11.92%","4.36%","$274","5.89%"
"Estonia [+]","75.85%","1,999,331,100.00","12.22%","5.25%","$1,501","-6.39%"
"Egypt [+]","33.00%","4,306.30","5.42%","1.74%","$35","-25.37%"
"Eritrea [+]","27.25%","14.9","2.68%","0.78%","$9","2.68%"
"Ethiopia [+]","24.95%","671.4","4.79%","0.87%","$6","-0.64%"
"Finland [+]","79.38%","22,684,607,361.00","13.04%","8.08%","$4,089","-6.52%"
